City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
202,Karratha,AU,2020-09-01 03:38:56,-20.74,116.85,93.69,13,18,11.68
203,Geraldton,AU,2020-09-01 03:37:27,-28.77,114.6,64.4,59,75,17.22
204,Olavarria,AR,2020-09-01 03:38:56,-36.89,-60.32,39.99,75,0,3.0
205,Iqaluit,CA,2020-09-01 03:38:56,63.75,-68.51,46.4,81,20,6.93
206,Lerwick,GB,2020-09-01 03:38:56,60.15,-1.15,55.4,82,19,18.34
207,Qaanaaq,GL,2020-09-01 03:38:57,77.48,-69.36,26.92,83,75,5.55
208,Paysandu,UY,2020-09-01 03:38:57,-32.32,-58.08,51.01,74,100,4.0
209,Dromolaxia,CY,2020-09-01 03:38:57,34.88,33.59,77.0,53,20,8.05
210,Bol,TD,2020-09-01 03:38:58,13.46,14.71,77.97,87,100,14.88
211,Turinsk,RU,2020-09-01 03:38:58,58.05,63.7,54.84,95,100,5.01
212,Nyrob,RU,2020-09-01 03:38:58,60.73,56.72,49.77,93,100,2.13
213,Bethel,US,2020-09-01 03:38:58,41.37,-73.41,63.0,87,1,3.36
214,Havre-Saint-Pierre,CA,2020-09-01 03:38:58,50.23,-63.6,44.6,93,1,2.24
215,Sao Filipe,CV,2020-09-01 03:38:59,14.9,-24.5,77.05,74,62,6.44
216,Abu Samrah,SY,2020-09-01 03:38:59,35.3,37.18,81.09,21,0,5.73
217,Bathsheba,BB,2020-09-01 03:38:59,13.22,-59.52,80.6,78,20,4.7
218,Teguldet,RU,2020-09-01 03:39:00,57.31,88.17,66.54,68,100,11.81
219,Rancho Palos Verdes,US,2020-09-01 03:39:00,33.74,-118.39,66.0,83,6,1.99
220,Coquimbo,CL,2020-09-01 03:39:00,-29.95,-71.34,53.6,81,11,4.7
221,Tuatapere,NZ,2020-09-01 03:39:00,-46.13,167.68,45.0,72,72,11.01
222,Podgornoye,RU,2020-09-01 03:39:01,51.73,39.15,55.4,76,0,4.47
223,Souillac,MU,2020-09-01 03:39:01,-20.52,57.52,69.8,83,75,11.41
224,Rocha,UY,2020-09-01 03:39:01,-34.48,-54.33,41.47,74,100,7.76
225,Tarabuco,BO,2020-09-01 03:39:01,-19.17,-64.92,45.54,94,28,4.63
226,Moa,CU,2020-09-01 03:39:02,20.66,-74.94,81.39,80,100,12.06
227,Marakkanam,IN,2020-09-01 03:39:02,12.2,79.95,85.78,65,65,4.76
228,Tezu,IN,2020-09-01 03:39:02,27.92,96.17,84.7,71,75,0.89
229,Laguna,US,2020-09-01 03:39:02,38.42,-121.42,81.0,44,1,8.05
